gene	chemical	count
LRRK2	Ser616	1
LRRK2	Serine935	1
LRRK2	tyrosine	1
BDNF	acyl-ghrelin	1
BDNF	aglycone	1
BDNF	amphetamine	1
BDNF	cyclic-AMP	1
BDNF	flavonoid	1
BDNF	glutathione	1
BDNF	glycosides	1
BDNF	Glycosphingolipid	1
BDNF	iron	1
BDNF	kainate	1
BDNF	levodopa	1
BDNF	Oxygen	1
BDNF	RA	1
BDNF	reactive oxygen species	1
BDNF	Retinoic Acid	1
BDNF	serine	1
BDNF	superoxide	1
BDNF	TOT	1
BDNF	TOT-AT	1
BDNF	UF4	1
BDNF	Val	1
BDNF	Val66Met single-nucleotide	1
BDNF	water	1
alpha-synuclein	-HpETE-	1
alpha-synuclein	[11C]DTBZ	1
alpha-synuclein	1- and 2-aminoindan	1
alpha-synuclein	1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	1
alpha-synuclein	15-HpETE	1
alpha-synuclein	15-HpETE-PE	1
alpha-synuclein	15-hydroperoxy (Hp)-arachidonoyl-phosphatidylethanolamine	1
alpha-synuclein	2-[4-hydroxy-3-(4-hydroxyphenyl)benzyl]-4-(4-hydroxyphenyl)phenol	1
alpha-synuclein	3,4-dihydroxyphenylacetaldehyde	1
alpha-synuclein	5-HIAA	1
alpha-synuclein	5-hydroxyindoleactic acid	1
alpha-synuclein	8-cyclopentyl-1,3-dipropylxanthine	1
alpha-synuclein	alkyl carboxylic acid	1
alpha-synuclein	amphetamine	1
alpha-synuclein	AMT	1
alpha-synuclein	apomorphine	1
alpha-synuclein	brefeldin A	1
alpha-synuclein	Ca2+	1
alpha-synuclein	cAMP	1
alpha-synuclein	Chloroquine	1
alpha-synuclein	cyclosporin A	1
alpha-synuclein	D-linoleic	1
alpha-synuclein	deuterated PUFAs	1
alpha-synuclein	deuteriums	1
alpha-synuclein	Diosmin	1
alpha-synuclein	doxycycline	1
alpha-synuclein	DTBZ	1
alpha-synuclein	flavone	1
alpha-synuclein	flavonoid	1
alpha-synuclein	flavonoids	1
alpha-synuclein	Flavonoids	1
alpha-synuclein	GABA	1
alpha-synuclein	gamma-aminobutyric acid	1
alpha-synuclein	glucobrassicin	1
alpha-synuclein	glyburide	1
alpha-synuclein	GMP	1
alpha-synuclein	H-linolenic	1
alpha-synuclein	histamine	1
alpha-synuclein	Histamine	1
alpha-synuclein	hydrogen	1
alpha-synuclein	hydrogen-saturated saline	1
alpha-synuclein	Hydrogen-saturated saline	1
alpha-synuclein	hydrogens	1
alpha-synuclein	indole-3-carbinol	1
alpha-synuclein	Indole-3-carbinol	1
alpha-synuclein	iron	1
alpha-synuclein	iso-qinulinin alkaloid	1
alpha-synuclein	lipid peroxides	1
alpha-synuclein	lipopolysaccharide	1
alpha-synuclein	malondialdehyde	1
alpha-synuclein	MDA	1
alpha-synuclein	MPTP	1
alpha-synuclein	N6-Cyclopentyladenosine	1
alpha-synuclein	nicotin	1
alpha-synuclein	noradrenaline	1
alpha-synuclein	okadaic acid	1
alpha-synuclein	paraquat	1
alpha-synuclein	Paraquat	1
alpha-synuclein	phosphate	1
alpha-synuclein	Phosphoamino acid	1
alpha-synuclein	phospholipids	1
alpha-synuclein	polyphenolic compounds	1
alpha-synuclein	polyunsaturated fatty acids	1
alpha-synuclein	Polyunsaturated fatty acids	1
alpha-synuclein	pramipexole	1
alpha-synuclein	probenecid	1
alpha-synuclein	pSyn	1
alpha-synuclein	PUFAs	1
alpha-synuclein	Quercetin	1
alpha-synuclein	quinazoline	1
alpha-synuclein	rapamycin	1
alpha-synuclein	Rasagiline	1
alpha-synuclein	Reserpine	1
alpha-synuclein	Selegiline	1
alpha-synuclein	Ser9	1
alpha-synuclein	thiols	1
alpha-synuclein	Tregs	1
alpha-synuclein	TVP-1022	1
alpha-synuclein	tyrosine	1
alpha-synuclein	Valeric acid	1
alpha-synuclein	Valeric Acid	1
alpha-synuclein	water	1
alpha-beta	(-)-epigallocatechin gallate	1
alpha-beta	, beta- and gamma-ATP	1
alpha-beta	18F-FP-CIT	1
alpha-beta	18F-N-(3-fluoropropyl)-2beta-carbon ethoxy-3beta-(4-iodophenyl) nortropane	1
alpha-beta	2-mercaptoethanol	1
alpha-beta	5-dihydroxy-phenyl]-phenyl-methanone	1
alpha-beta	6-OHDA	1
alpha-beta	AbetaO10-20	1
alpha-beta	alpha-ATP	1
alpha-beta	Asp-N	1
alpha-beta	ATP	1
alpha-beta	copper(II)	1
alpha-beta	Copper(II)	1
alpha-beta	dicyclohexylcarbodi-imide	1
alpha-beta	Dopamine	1
alpha-beta	ethylene diamine tetraacetic acid	1
alpha-beta	FDG	1
alpha-beta	formic acid	1
alpha-beta	fucoidan	1
alpha-beta	gamma-ATP	1
alpha-beta	inorganic phosphate	1
alpha-beta	KPI	1
alpha-beta	levodopa	1
alpha-beta	lipids	1
alpha-beta	metal	1
alpha-beta	MPTP	1
alpha-beta	N-(ethoxycarbonyl)-2-ethoxy-1,2-dihydroquinoline	1
alpha-beta	nitric oxide	1
alpha-beta	Paraffin	1
alpha-beta	phosphocreatine	1
alpha-beta	phosphodiesters	1
alpha-beta	phosphorus	1
alpha-beta	pifithrin	1
alpha-beta	rotenone	1
alpha-beta	SMM-189	1
alpha-beta	sodium dodecyl sulfate	1
alpha-beta	sodium iodoacetate	1
alpha-beta	TBS	1
alpha-beta	urate	1
alpha-beta	xanthones	1
alpha-beta	Xanthones	1
GDNF	1-methyl-4-phenylpyridinium	1
GDNF	adenosine	1
GDNF	amphetamine	1
GDNF	bilirubin	1
GDNF	capsaicin	1
GDNF	Dopamine	1
GDNF	KW6002	1
GDNF	Levodopa	1
GDNF	Pro-PD	1
GDNF	SIN-W	1
GDNF	TH	1
GDNF	TOT	1
GDNF	TOT-AT	1
GDNF	tyrosine	1
Apolipoprotein E	1-methyl-4-phenyl-1, 2, 3, 6-tetrahydropyridine	1
Apolipoprotein E	1-methyl-4-phenylpyridinium	1
Apolipoprotein E	dopamine	1
Apolipoprotein E	isoleucine	1
Apolipoprotein E	levodopa	1
Apolipoprotein E	lipid	1
Apolipoprotein E	MPP+	1
Apolipoprotein E	MPTP	1
Apolipoprotein E	pentanucleotide	1
Apolipoprotein E	tyrosine	1
Apolipoprotein E	valine	1
GDNF	[S,R]-sulfoximine	1
GDNF	1-methyl-4-phenylpyridinium	1
GDNF	Apomorphine	1
GDNF	dihydroxyphenylacetic acid	1
GDNF	Dopamine	1
GDNF	Glutathione	1
GDNF	L-buthionine	1
GDNF	lipid peroxides	1
GDNF	lipopolysaccharide	1
GDNF	MPP+	1
GDNF	polymer	1
GDNF	potassium	1
GDNF	retinoic acid	1
GDNF	rotenone	1
GDNF	Ser9	1
GDNF	SIN-W	1
GDNF	TH	1
ET	alcohol	1
ET	dopamine	1
ET	fluoropropyl-carbomethoxylodopropyl-nor-ss-tropane	1
ET	GT	1
ET	propranolol	1
TNF-alpha	3-(4, 5-dimethyl-2-thiazolyl)-2, 5-diphenyl-2-H-tetrazolium bromide	1
TNF-alpha	34a	1
TNF-alpha	6-OHDA	1
TNF-alpha	acetylcholine	1
TNF-alpha	adalimumab	1
TNF-alpha	adenine	1
TNF-alpha	bilirubin	1
TNF-alpha	Ca2+	1
TNF-alpha	chitosan	1
TNF-alpha	Chitosan	1
TNF-alpha	Cys	1
TNF-alpha	density	1
TNF-alpha	dextran sodium sulfate	1
TNF-alpha	fluoropeptides	1
TNF-alpha	flupirtine	1
TNF-alpha	glutathione	1
TNF-alpha	hydrogen	1
TNF-alpha	idebenone	1
TNF-alpha	kaempferol	1
TNF-alpha	Levodopa	1
TNF-alpha	lipids	1
TNF-alpha	lipopolysaccharide	1
TNF-alpha	lipopolysaccharides	1
TNF-alpha	malondialdehyde	1
TNF-alpha	N-acetylcysteine	1
TNF-alpha	N-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	1
TNF-alpha	N-methyl-4-phenylpyridine	1
TNF-alpha	norepinephrine	1
TNF-alpha	oxygen	1
TNF-alpha	Oxygen	1
TNF-alpha	PBM	1
TNF-alpha	pramipexole	1
TNF-alpha	quercetin	1
TNF-alpha	rasagiline	1
TNF-alpha	resveratrol	1
TNF-alpha	RHCl	1
TNF-alpha	Ropinirole hydrochloride	1
TNF-alpha	ROS	1
TNF-alpha	steroid	1
TNF-alpha	superoxide	1
TNF-alpha	Tfh	1
TNF-alpha	thymoquinone	1
TNF-alpha	Thymoquinone	1
TNF-alpha	TOT	1
TNF-alpha	TOT-AT	1
TNF-alpha	triacylglycerols	1
TNF-alpha	tyrosine	1
tyrosine hydroxylase	aminocrhome	1
tyrosine hydroxylase	amphetamine	1
tyrosine hydroxylase	Apomorphine	1
tyrosine hydroxylase	Diosmin	1
tyrosine hydroxylase	flavone	1
tyrosine hydroxylase	iron	1
tyrosine hydroxylase	malondialdehyde	1
tyrosine hydroxylase	MDA	1
tyrosine hydroxylase	nicotin	1
tyrosine hydroxylase	quinazoline	1
tyrosine hydroxylase	Salubrinal	1
tyrosine hydroxylase	SN	1
tyrosine hydroxylase	sodium-nitroprusside	1
tyrosine hydroxylase	tetrahydrobiopterin	1
tyrosine hydroxylase	tyrosine	1
DJ-1	3-nitrotyrosine	1
DJ-1	amantadine	1
DJ-1	eosin	1
DJ-1	hematoxylin	1
DJ-1	lipopolysaccharide	1
DJ-1	Lipopolysaccharide	1
DJ-1	malondialdehyde	1
DJ-1	MPTP	1
DJ-1	oxygen	1
DJ-1	superoxide	1
DJ-1	tyrosine	1
DJ-1	WA	1
DJ-1	water	1
Nrf2	1-methyl-4-phenylpyridinium	1
Nrf2	6-hydroxy dopamine	1
Nrf2	6-hydroxydopamine	1
Nrf2	amantadine	1
Nrf2	cysteine	1
Nrf2	DA	1
Nrf2	disubstituted dithiolethione ACDT	1
Nrf2	dithiolethione 5-amino-3-thioxo-3H-(1,2) dithiole-4-carboxylic acid ethyl ester	1
Nrf2	dithiolethiones	1
Nrf2	Dithiolethiones	1
Nrf2	flavonoid	1
Nrf2	flavonol	1
Nrf2	glutathione	1
Nrf2	Glutathione	1
Nrf2	H2 O2	1
Nrf2	iron	1
Nrf2	Manganese	1
Nrf2	MnCl2	1
Nrf2	MPTP	1
Nrf2	nitrite	1
Nrf2	oxygen	1
Nrf2	Resveratrol	1
Nrf2	Ser129	1
Nrf2	serotonin	1
Nrf2	tyrosine	1
Nrf2	WA	1
Nrf2	water	1
PGP9.5	]-metaiodobenzylguanidine	1
PGP9.5	digoxygenin	1
PGP9.5	dopamine	1
PGP9.5	Dopamine	1
PGP9.5	glucose	1
PGP9.5	levodopa	1
PGP9.5	melanin	1
PGP9.5	tyrosine	1
parkin	paraquat	1
AKT	1-methyl-4-phenylpyridinium iodide	1
AKT	1-methyl-4-phenylpyridium	1
AKT	3-bromopyruvic acid	1
AKT	acetate	1
AKT	aglycone	1
AKT	butyrate	1
AKT	cAMP	1
AKT	glutathione	1
AKT	glycosides	1
AKT	hydrogen-saturated saline	1
AKT	Hydrogen-saturated saline	1
AKT	iron	1
AKT	kaempferol	1
AKT	lipid	1
AKT	Luteolin	1
AKT	O2-	1
AKT	polyphenol	1
AKT	Propionate	1
AKT	quercetin	1
AKT	rapamycin	1
AKT	SC79	1
AKT	SCFA	1
AKT	short-chain fatty acids	1
AKT	superoxide	1
AKT	superoxide anion	1
AKT	Treg	1
AKT	Tregs	1
AKT	tyrosine	1
AKT	water	1
ATP13A2	calcium	1
ATP13A2	Dopamine	1
ATP13A2	glucose	1
ATP13A2	hexanucleotide	1
ATP13A2	L-dopa	1
ATP13A2	linc001128	1
ATP13A2	linc0938	1
ATP13A2	miR-24-3p	1
ATP13A2	miR-30c-5p	1
PINK-1	ATP	1
PINK-1	dopamine	1
PINK-1	paraquat	1
VPS35	123I-metaiodobenzylguanidine	1
VPS35	3,4-dihydroxyphenylacetic acid	1
VPS35	3H	1
VPS35	asparagine	1
VPS35	carbidopa	1
VPS35	DAB	1
VPS35	DOPAC	1
VPS35	Dopamine	1
VPS35	FE-PE2I	1
VPS35	G4s	1
VPS35	glucose	1
VPS35	homovanillic acid	1
VPS35	HVA	1
VPS35	Levodopa	1
VPS35	NTg	1
DRD2	(S)-5-iodo-7-N-[(1-ethyl-2- pyrrolidinyl)methyl]carboxamido-2,3-dihydrobenzofuran	1
DRD2	[11C]raclopride	1
DRD2	2H	1
DRD2	3-iodo-6-methoxybenzamine	1
DRD2	aminobenzothiazole	1
DRD2	benserazide	1
DRD2	benserazide hydrochloride	1
DRD2	ciprofloxacin	1
DRD2	CU	1
DRD2	Cys311	1
DRD2	Delta-T3	1
DRD2	dopa	1
DRD2	Gamma-T3	1
DRD2	L-dopa	1
DRD2	L-DOPA	1
DRD2	L-Dopa methyl ester	1
DRD2	lisuride	1
DRD2	manganese	1
DRD2	Manganese	1
DRD2	MPTP	1
DRD2	phosphosite	1
DRD2	potassium	1
DRD2	quinpirole	1
DRD2	RAC	1
DRD2	reactive oxygen species	1
DRD2	retinoic acid	1
DRD2	Ser311	1
DRD2	SKF 81297	1
DRD2	theophylline	1
DRD2	tocotrienol	1
DRD2	tolcapone	1
DRD2	tyrosine	1
Syn	1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	1
Syn	1-methyl-4-phenylpyridinium	1
Syn	6-hydroxydopamine	1
Syn	6-OHDA	1
Syn	8-anilinonaphthalene-1-sulfonic acid	1
Syn	alcohol	1
Syn	Alcohol	1
Syn	arachidonic acid	1
Syn	calcium	1
Syn	Cu2+	1
Syn	Fe3+	1
Syn	Iron	1
Syn	KW6002	1
Syn	L-DOPA	1
Syn	levodopa	1
Syn	lipid bilayer	1
Syn	lipids	1
Syn	metal	1
Syn	MPP+	1
Syn	MPTP	1
Syn	n-acetylneuraminic acid	1
Syn	n-Acetylneuraminic Acid	1
Syn	psychosine	1
Syn	rotenone	1
Syn	Ser129	1
